AGS_12,state,nuts2,district,name,population,male,female,male_under10,female_under10,male_10to19,female_10to19,male_20to29,female_20to29,male_30to39,female_30to39,male_40to49,female_40to49,male_50to59,female_50to59,male_60to69,female_60to69,male_70to79,female_70to79,male_80andover,female_80andover,working_population,agriculture_forests_fishery,mining_and_industry,energy_water_waste,construction,trade_carmechanics_tourism,traffic_storage_communication,finance_insurance,property,public_administration,other_services,unknown
7233,7,2,33,Vulkaneifel,61947,30650,31297,2549,2391,3697,3552,3433,2963,3070,3104,4967,4987,4941,4689,3427,3478,3244,3588,1322,2545,31940,870,7290,330,2390,5600,1890,780,2370,3210,7210,
7235,7,2,35,Trier-Saarburg,142228,69881,72347,6388,6177,8180,7717,7644,7291,7865,8320,12874,12656,11243,10783,7143,7100,6175,7320,2369,4983,77850,2220,13840,1250,6100,13770,5230,4310,5610,6740,18780,
7311,7,3,11,"Frankenthal Pfalz, Stadt",46415,22369,24046,2039,1856,2378,2335,2574,2820,2697,2671,3642,3541,3380,3363,2333,2832,2386,2808,940,1820,21930,,5730,330,1250,3650,1680,540,2670,1350,4560,
7312,7,3,12,"Kaiserslautern, Stadt",96340,47703,48638,3824,3482,4579,4364,9189,7602,5608,5477,7374,6776,6759,6684,4585,5474,4053,5224,1732,3555,46260,,6100,700,2220,8370,3300,1020,7180,3360,13880,
7313,7,3,13,"Landau in der Pfalz, Stadt",43361,20453,22908,1761,1733,2171,1983,2986,3860,2530,2611,3618,3539,3053,2893,1997,2301,1706,2266,631,1722,23290,,3520,310,1030,4510,1400,540,2690,1540,7410,
7314,7,3,14,"Ludwigshafen am Rhein, Stadt",157584,77275,80309,7869,7113,7963,7965,10338,10228,10106,9829,13199,12186,10100,10714,7862,8507,7042,8333,2796,5434,73260,390,17240,1450,5190,11060,6800,1760,11090,3160,15110,0
7315,7,3,15,"Mainz, Stadt",200344,96250,104094,8657,7572,8541,7667,18231,21943,14695,14056,14646,14402,11507,12803,9254,9917,7526,9228,3193,6506,108590,,10510,1150,3230,15610,14190,4430,16990,8650,33200,
7316,7,3,16,"Neustadt an der Weinstraße, Stadt",52164,25087,27077,2266,2067,2582,2449,2850,2920,2546,2652,4311,4183,4044,4132,2730,3146,2580,3140,1178,2388,26000,660,4420,340,1460,4350,1810,760,3380,1920,6910,
7317,7,3,17,"Pirmasens, Stadt",40887,19591,21296,1595,1447,2016,1929,2251,2096,1971,2051,3257,3085,3223,3186,2167,2483,2138,3008,973,2011,17400,,3900,240,860,3540,1030,280,1700,1350,4400,
7318,7,3,18,"Speyer, Stadt",49540,23742,25798,2261,2149,2479,2450,2754,2740,2687,2983,4257,3952,3590,3872,2617,2973,2217,2745,880,1934,25300,,4740,350,1280,4250,2080,690,3040,2090,6610,
7319,7,3,19,"Worms, Stadt",79207,38090,41117,3691,3465,4106,4124,4667,5191,4696,4600,6513,6292,5503,6142,4202,4143,3414,4189,1298,2971,39500,,8440,1060,2270,6690,3780,750,4840,2240,9000,
7320,7,3,20,"Zweibrücken, Stadt",34200,16767,17433,1388,1246,1803,1612,2403,2007,1873,1808,2592,2541,2606,2691,1773,1974,1622,2102,707,1452,16140,,3500,280,830,3200,1020,460,1830,1110,3730,
7331,7,3,31,Alzey-Worms,125112,61947,63166,5682,5319,7479,6968,7039,6350,6831,7086,11037,11172,10300,10180,6693,6425,4951,5730,1935,3936,67840,3050,12960,1010,3920,11000,6680,2450,7530,4930,14290,
7332,7,3,32,Bad Dürkheim,131085,63784,67301,5254,4952,7326,6777,6134,5818,6117,6864,11460,11680,10516,10588,7910,8275,6568,7539,2499,4808,66740,2410,15580,1050,3730,11000,4390,2060,7340,4630,14550,
7333,7,3,33,Donnersbergkreis,76032,37461,38569,3362,3263,4479,4272,4156,3742,4023,4138,6492,6541,6246,6087,4090,3971,3290,3843,1323,2712,38710,840,9890,440,2360,5660,2190,960,4150,3030,9180,
7334,7,3,34,Germersheim,123913,61234,62679,5749,5212,7107,6943,7262,7251,7081,7393,11031,10531,9658,9435,6380,6355,5320,6106,1646,3453,66530,950,16650,1260,3420,11140,5130,2080,7810,4660,13430,
7335,7,3,35,Kaiserslautern,105283,51460,53823,4598,4288,6227,5856,5787,5474,5391,5759,8680,8841,8627,8527,5531,5552,4701,5827,1918,3699,53360,940,10280,830,2910,8250,3510,1460,5660,4760,14770,0
7336,7,3,36,Kusel,72781,35908,36875,2867,2701,4031,3740,3975,3605,3586,3723,6085,5879,6231,6005,4006,3957,3578,4333,1549,2932,36480,450,9910,410,2110,5470,2000,830,3150,3150,8980,
7337,7,3,37,Südliche Weinstraße,108244,53041,55203,4494,4218,6063,5820,5570,5283,5502,5626,9526,9498,8675,8563,6036,6176,5256,6127,1919,3892,58330,2730,11830,700,3240,10160,3420,1740,5750,4600,14170,
7338,7,3,38,Rhein-Pfalz-Kreis,146870,71749,75119,6062,5751,8033,7590,7303,7071,7438,8027,12851,13087,11578,11461,8321,8937,7493,8272,2670,4923,75740,1690,18560,1410,4110,11600,5830,2540,8230,5480,16280,0
7339,7,3,39,Mainz-Bingen,200672,98168,102504,9376,8762,11175,10716,10423,10022,11071,11976,18344,18477,15436,15706,10981,11156,8359,9699,3003,5990,110830,2610,18470,1320,5080,18280,11810,5240,13180,9650,25200,0
7340,7,3,40,Südwestpfalz,98426,48470,49956,3601,3387,5425,5067,5200,4643,4729,4921,8389,8442,8178,8013,5517,5599,5429,6312,2002,3572,50250,830,11420,620,3290,9120,2670,1290,4240,4510,12260,
8111,8,1,11,"Stuttgart, Landeshauptstadt",585890,287085,298805,26298,25219,25745,24460,46992,47059,46585,44412,46110,43421,34523,35250,28331,30719,23367,28485,9134,19780,314950,1340,48840,2610,11950,47680,33250,12220,59140,19100,78690,130
8115,8,1,15,Böblingen,363950,178710,185239,17930,16750,20925,19780,20244,20451,22579,22659,31199,30534,24993,25440,18870,20350,16162,18548,5808,10727,190890,1390,50860,1470,7720,31920,17110,6620,27030,11820,34920,40
8116,8,1,16,Esslingen,502892,246221,256672,24289,22601,27680,26487,28799,28235,30934,31377,42935,42588,33662,34745,26674,28519,22674,26484,8574,15636,267770,2030,71510,2360,12950,42550,23650,9130,34000,16580,53010,0
8117,8,1,17,Göppingen,247408,121268,126139,10949,10691,14489,13644,14546,13204,13697,14127,20818,20135,17380,17601,13347,14211,11533,13553,4509,8973,129170,1300,39240,1300,7720,20390,8350,3860,12650,8560,25810,
8118,8,1,18,Ludwigsburg,509871,250121,259750,24811,23552,28237,27123,28735,28889,32380,32666,44088,42819,34730,35314,26455,28113,22486,25909,8199,15365,271580,3510,69010,2640,12730,40980,24120,11410,35860,18340,52980,10
8119,8,1,19,Rems-Murr-Kreis,406874,198975,207899,18897,17987,23415,22547,22619,21397,23235,23838,35795,34751,28476,28990,21190,22956,18596,22144,6752,13289,214750,2540,56940,2030,11800,34330,14570,9220,24570,14030,44710,10
8121,8,1,21,"Heilbronn, Stadt",116059,56901,59158,5771,5162,6136,5482,7514,7590,7874,7538,8899,8511,7547,7855,5811,6330,5252,6406,2097,4284,58920,,15280,840,2580,10590,4680,1410,8750,2920,11330,
8125,8,1,25,Heilbronn,322811,159509,163304,15152,14653,19995,18874,18760,17512,19502,19433,28645,27704,23267,22989,15982,17000,13344,15540,4862,9599,174610,3790,55480,2500,8270,26910,11790,5150,19040,10420,31260,0
8126,8,1,26,Hohenlohekreis,107279,53507,53773,5200,4795,6617,6279,6902,6016,6246,6169,9237,8891,7834,7698,5214,5209,4375,5193,1882,3523,59100,1610,21840,390,2690,10390,3120,1650,4370,2940,10110,
